|dates|Washington_Utah_UnitedStates.BLS_EmployedPopulation.data|Washington_Utah_UnitedStates.BLS_EmployedPopulation.missing|Washington_Utah_UnitedStates.BLS_UnemployedPopulation.data|Washington_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Utah_UnitedStates.BLS_UnemploymentRate.data|Washington_Utah_UnitedStates.BLS_UnemploymentRate.missing|Washington_Utah_UnitedStates.BLS_LaborForcePopulation.data|Washington_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-02|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-03|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-04|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-05|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-06|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-07|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-08|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-09|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-10|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-11|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-12|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-13|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-14|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-15|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-16|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-17|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-18|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-19|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-20|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-21|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-22|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-23|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-24|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-25|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-26|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-27|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-28|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-29|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-30|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-01-31|74351.5|0|2578.0|0|3.3511201814648475|0|76929.5|0
0|2020-02-01|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-02|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-03|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-04|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-05|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-06|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-07|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-08|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-09|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-10|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-11|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-12|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-13|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-14|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-15|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-16|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-17|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-18|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-19|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-20|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-21|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-22|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-23|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-24|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-25|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-26|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-27|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-28|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-02-29|75561.5|0|2579.0|0|3.300465187706759|0|78140.5|0
0|2020-03-01|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-02|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-03|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-04|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-05|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-06|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-07|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-08|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-09|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-10|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-11|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-12|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
0|2020-03-13|74943.5|0|3018.5|0|3.87175803596624|0|77962.0|0
