|dates|FortBend_Texas_UnitedStates.BLS_EmployedPopulation.data|FortBend_Texas_UnitedStates.BLS_EmployedPopulation.missing|FortBend_Texas_UnitedStates.BLS_UnemployedPopulation.data|FortBend_Texas_UnitedStates.BLS_UnemployedPopulation.missing|FortBend_Texas_UnitedStates.BLS_UnemploymentRate.data|FortBend_Texas_UnitedStates.BLS_UnemploymentRate.missing|FortBend_Texas_UnitedStates.BLS_LaborForcePopulation.data|FortBend_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-02|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-03|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-04|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-05|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-06|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-07|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-08|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-09|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-10|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-11|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-12|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-13|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-14|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-15|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-16|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-17|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-18|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-19|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-20|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-21|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
0|2020-01-22|384695.0|0|14405.0|0|3.6093710849411176|0|399100.0|0
