|dates|Johnson_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Johnson_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Johnson_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Johnson_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Johnson_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Johnson_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Johnson_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Johnson_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-02|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-03|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-04|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-05|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-06|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-07|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-08|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-09|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-10|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-11|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-12|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-13|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-14|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-15|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-16|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-17|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-18|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-19|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-20|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-21|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-22|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-23|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-24|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-25|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-26|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-27|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-28|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-29|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-30|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-01-31|6219.5|0|499.0|0|7.427253107092357|0|6718.5|0
0|2020-02-01|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-02|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-03|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-04|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-05|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-06|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-07|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-08|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-09|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-10|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-11|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-12|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-13|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-14|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-15|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-16|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-17|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-18|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-19|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-20|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-21|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-22|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-23|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-24|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-25|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-26|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-27|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-28|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-02-29|6230.0|0|486.0|0|7.236450268016677|0|6716.0|0
0|2020-03-01|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-02|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-03|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-04|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-05|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-06|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-07|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-08|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-09|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-10|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-11|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-12|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-13|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-14|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-15|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-16|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-17|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-18|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
0|2020-03-19|6212.0|0|566.0|0|8.350545883741516|0|6778.0|0
