|dates|Crawford_Indiana_UnitedStates.BLS_EmployedPopulation.data|Crawford_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Crawford_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Crawford_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Crawford_Indiana_UnitedStates.BLS_UnemploymentRate.data|Crawford_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Crawford_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Crawford_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-02|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-03|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-04|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-05|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-06|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-07|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-08|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-09|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-10|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-11|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-12|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-13|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-14|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-15|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-16|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-17|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-18|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-19|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-20|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-21|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-22|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-23|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-24|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-25|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-26|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-27|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-28|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-29|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-30|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-01-31|4636.5|0|297.0|0|6.0200668896321075|0|4933.5|0
0|2020-02-01|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-02|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-03|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-04|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-05|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-06|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-07|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-08|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-09|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-10|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-11|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-12|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-13|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-14|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-15|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-16|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-17|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-18|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-19|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-20|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-21|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-22|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
0|2020-02-23|4627.0|0|275.0|0|5.609955120359037|0|4902.0|0
