|dates|Sherburne_Minnesota_UnitedStates.AveragePrecipitationTotal.data|Sherburne_Minnesota_UnitedStates.AveragePrecipitationTotal.missing|Sherburne_Minnesota_UnitedStates.AveragePrecipitation.data|Sherburne_Minnesota_UnitedStates.AveragePrecipitation.missing|Sherburne_Minnesota_UnitedStates.AverageWindDirection.data|Sherburne_Minnesota_UnitedStates.AverageWindDirection.missing|Sherburne_Minnesota_UnitedStates.AverageWindSpeed.data|Sherburne_Minnesota_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|9.322916666666666|0|0.22916666666666666|0
0|2020-01-02|0.0|0|0.0|0|103.95833333333333|0|3.7447916666666665|0
0|2020-01-03|0.0|0|0.0|0|106.51041666666667|0|3.2395833333333335|0
0|2020-01-04|0.0|0|0.0|0|21.458333333333332|0|0.984375|0
0|2020-01-05|0.0|0|0.0|0|164.58333333333334|0|8.140625|0
0|2020-01-06|0.0|0|0.0|0|65.52083333333333|0|1.9010416666666667|0
0|2020-01-07|0.0|0|0.0|0|206.19791666666666|0|7.682291666666667|0
0|2020-01-08|0.0|0|0.0|0|45.78125|0|4.21875|0
0|2020-01-09|0.0|0|0.0|0|119.58333333333333|0|4.265625|0
0|2020-01-10|0.0|0|0.0|0|289.0104166666667|0|8.546875|0
0|2020-01-11|0.0|0|0.0|0|94.6875|0|3.625|0
0|2020-01-12|0.0|0|0.0|0|22.552083333333332|0|1.7552083333333333|0
0|2020-01-13|0.0|0|0.0|0|61.197916666666664|0|3.609375|0
0|2020-01-14|0.0|0|0.0|0|113.95833333333333|0|3.9739583333333335|0
0|2020-01-15|0.0|0|0.0|0|150.15625|0|5.057291666666667|0
0|2020-01-16|0.0|0|0.0|0|38.489583333333336|0|0.9427083333333334|0
0|2020-01-17|0.0|0|0.0|0|104.84375|0|7.1875|0
0|2020-01-18|0.0|0|0.0|0|201.30208333333334|0|11.796875|0
0|2020-01-19|0.0|0|0.0|0|165.52083333333334|0|5.439236111111111|0
0|2020-01-20|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-21|0.0|0|0.0|0|122.23958333333333|0|6.885416666666667|0
0|2020-01-22|0.0|0|0.0|0|88.85416666666667|0|3.2916666666666665|0
0|2020-01-23|0.0|0|0.0|0|6.614583333333333|0|1.3020833333333333|0
0|2020-01-24|0.0|0|0.0|0|244.53125|0|5.994791666666667|0
0|2020-01-25|0.0|0|0.0|0|183.48958333333334|0|4.072916666666667|0
0|2020-01-26|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-27|0.0|0|0.0|0|60.208333333333336|0|0.9479166666666666|0
0|2020-01-28|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-29|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-30|0.0|0|0.0|0|15.0|0|0.5572916666666666|0
0|2020-01-31|0.0|0|0.0|0|24.635416666666668|0|0.8385416666666666|0
0|2020-02-01|0.0|0|0.0|0|70.15625|0|2.25|0
0|2020-02-02|0.0|0|0.0|0|256.7708333333333|0|10.802083333333334|0
0|2020-02-03|0.0|0|0.0|0|260.78125|0|8.317708333333334|0
0|2020-02-04|0.0|0|0.0|0|61.927083333333336|0|1.9895833333333333|0
0|2020-02-05|0.0|0|0.0|0|10.520833333333334|0|0.234375|0
0|2020-02-06|0.0|0|0.0|0|21.145833333333332|0|0.8645833333333334|0
0|2020-02-07|0.0|0|0.0|0|135.83333333333334|0|3.28125|0
0|2020-02-08|0.0|0|0.0|0|9.0625|0|0.22916666666666666|0
0|2020-02-09|0.0|0|0.0|0|103.90625|0|3.4270833333333335|0
0|2020-02-10|0.0|0|0.0|0|80.83333333333333|0|2.4166666666666665|0
