|dates|Jones_Georgia_UnitedStates.BLS_EmployedPopulation.data|Jones_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Jones_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Jones_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Jones_Georgia_UnitedStates.BLS_UnemploymentRate.data|Jones_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Jones_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Jones_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-02|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-03|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-04|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-05|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-06|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-07|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-08|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-09|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-10|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-11|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-12|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-13|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-14|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-15|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-16|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-17|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-18|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
0|2020-01-19|13425.0|0|449.0|0|3.236269280668877|0|13874.0|0
