|dates|Barber_Kansas_UnitedStates.BLS_EmployedPopulation.data|Barber_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Barber_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Barber_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Barber_Kansas_UnitedStates.BLS_UnemploymentRate.data|Barber_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Barber_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Barber_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-02|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-03|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-04|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-05|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-06|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-07|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-08|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-09|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-10|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-11|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-12|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-13|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-14|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-15|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-16|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-17|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-18|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-19|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-20|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-21|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-22|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-23|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-24|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-25|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-26|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-27|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-28|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-29|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-30|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-01-31|2219.0|0|68.5|0|2.9945355191256833|0|2287.5|0
0|2020-02-01|2245.5|0|61.0|0|2.644699761543464|0|2306.5|0
0|2020-02-02|2245.5|0|61.0|0|2.644699761543464|0|2306.5|0
0|2020-02-03|2245.5|0|61.0|0|2.644699761543464|0|2306.5|0
0|2020-02-04|2245.5|0|61.0|0|2.644699761543464|0|2306.5|0
0|2020-02-05|2245.5|0|61.0|0|2.644699761543464|0|2306.5|0
