|dates|Stutsman_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Stutsman_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Stutsman_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Stutsman_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Stutsman_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Stutsman_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Stutsman_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Stutsman_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-02|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-03|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-04|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-05|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-06|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-07|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-08|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-09|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-10|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-11|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-12|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-13|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-14|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-15|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-16|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-17|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-18|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-19|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
0|2020-01-20|9912.0|0|279.5|0|2.742481479664426|0|10191.5|0
