|dates|Cheatham_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Cheatham_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Cheatham_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Cheatham_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Cheatham_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Cheatham_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Cheatham_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Cheatham_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-02|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-03|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-04|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-05|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-06|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-07|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-08|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-09|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-10|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-11|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-12|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-13|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-14|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-15|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-16|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-17|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-18|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-19|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-20|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-21|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-22|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-23|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-24|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-25|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-26|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-27|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-28|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-29|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-30|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-01-31|21445.5|0|651.0|0|2.9461679451496843|0|22096.5|0
0|2020-02-01|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-02|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-03|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-04|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-05|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-06|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-07|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-08|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-09|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-10|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-11|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-12|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-13|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-14|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-15|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-16|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-17|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-18|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-19|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-20|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-21|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-22|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-23|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-24|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-25|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-26|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-27|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-28|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-02-29|21563.5|0|648.0|0|2.9174076491907344|0|22211.5|0
0|2020-03-01|21503.0|0|642.0|0|2.8990742831338903|0|22145.0|0
0|2020-03-02|21503.0|0|642.0|0|2.8990742831338903|0|22145.0|0
0|2020-03-03|21503.0|0|642.0|0|2.8990742831338903|0|22145.0|0
0|2020-03-04|21503.0|0|642.0|0|2.8990742831338903|0|22145.0|0
0|2020-03-05|21503.0|0|642.0|0|2.8990742831338903|0|22145.0|0
