|dates|Mercer_Missouri_UnitedStates.BLS_EmployedPopulation.data|Mercer_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Mercer_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Mercer_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Mercer_Missouri_UnitedStates.BLS_UnemploymentRate.data|Mercer_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Mercer_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Mercer_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-05|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-06|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-07|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-08|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-09|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-10|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-11|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-12|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-13|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-14|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-15|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-16|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-17|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-18|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-19|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-20|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-21|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-22|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-23|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-24|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-25|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-26|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-27|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-28|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-29|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-30|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-03-31|1848.0|0|70.0|0|3.6496350364963503|0|1918.0|0
0|2020-04-01|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-02|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-03|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-04|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-05|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-06|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-07|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-08|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-09|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-10|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-11|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-12|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-13|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-14|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
