|dates|Coconino_Arizona_UnitedStates.AveragePrecipitationTotal.data|Coconino_Arizona_UnitedStates.AveragePrecipitationTotal.missing|Coconino_Arizona_UnitedStates.AveragePrecipitation.data|Coconino_Arizona_UnitedStates.AveragePrecipitation.missing|Coconino_Arizona_UnitedStates.AverageWindDirection.data|Coconino_Arizona_UnitedStates.AverageWindDirection.missing|Coconino_Arizona_UnitedStates.AverageWindSpeed.data|Coconino_Arizona_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0008333333333333334|0|58.385416666666664|0|3.1041666666666665|0
0|2020-01-02|0.0020833333333333333|0|0.0|0|186.04166666666666|0|4.395833333333333|0
0|2020-01-03|0.0|0|0.0|0|58.333333333333336|0|2.1666666666666665|0
0|2020-01-04|0.0|0|0.0|0|72.5|0|3.9166666666666665|0
0|2020-01-05|0.0|0|0.0|0|79.16666666666667|0|4.458333333333333|0
0|2020-01-06|0.0|0|0.0|0|28.75|0|5.0|0
0|2020-01-07|0.0|0|0.0|0|29.166666666666668|0|3.6666666666666665|0
0|2020-01-08|0.0|0|0.0|0|123.75|0|8.0|0
0|2020-01-09|0.0|0|0.0|0|70.69444444444444|0|2.7083333333333335|0
0|2020-01-10|0.0|0|0.0|0|51.25|0|2.125|0
0|2020-01-11|0.0|0|0.0|0|136.66666666666666|0|7.666666666666667|0
0|2020-01-12|0.0|0|0.0|0|89.16666666666667|0|4.458333333333333|0
0|2020-01-13|0.0|0|0.0|0|165.41666666666666|0|8.666666666666666|0
0|2020-01-14|0.0|0|0.0|0|125.41666666666667|0|9.333333333333334|0
0|2020-01-15|0.0|0|0.0|0|72.5|0|4.0|0
0|2020-01-16|0.0|0|0.0|0|111.66666666666667|0|7.708333333333333|0
0|2020-01-17|0.0|0|0.0|0|193.125|0|10.520833333333334|0
0|2020-01-18|0.0|0|0.0|0|29.166666666666668|0|5.791666666666667|0
0|2020-01-19|0.0|0|0.0|0|53.333333333333336|0|12.25|0
0|2020-01-20|0.0|0|0.0|0|70.41666666666667|0|9.166666666666666|0
0|2020-01-21|0.0|0|0.006416666666666667|0|159.5|0|5.434722222222223|0
0|2020-01-22|0.007916666666666667|0|0.0|0|73.20833333333333|0|2.466666666666667|0
0|2020-01-23|0.0|0|0.0|0|25.416666666666668|0|4.291666666666667|0
0|2020-01-24|0.0|0|0.0|0|31.875|0|2.2083333333333335|0
0|2020-01-25|0.0|0|0.0|0|52.5|0|1.8333333333333333|0
0|2020-01-26|0.0|0|0.006229166666666668|0|107.72222222222223|0|3.909722222222222|0
0|2020-01-27|0.0019166666666666666|0|0.0004166666666666667|0|178.31944444444446|0|5.724652777777777|0
0|2020-01-28|0.0|0|0.0|0|28.75|0|2.4166666666666665|0
0|2020-01-29|0.0|0|0.0|0|33.75|0|6.25|0
0|2020-01-30|0.0|0|0.0|0|37.083333333333336|0|3.0833333333333335|0
0|2020-01-31|0.0|0|0.0|0|72.5|0|3.2916666666666665|0
0|2020-02-01|0.0|0|0.0|0|33.333333333333336|0|3.0833333333333335|0
0|2020-02-02|0.0|0|0.0|0|139.58333333333334|0|12.0|0
0|2020-02-03|0.0|0|0.0|0|226.45833333333334|0|12.270833333333334|0
