|dates|Blanco_Texas_UnitedStates.BLS_EmployedPopulation.data|Blanco_Texas_UnitedStates.BLS_EmployedPopulation.missing|Blanco_Texas_UnitedStates.BLS_UnemployedPopulation.data|Blanco_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Blanco_Texas_UnitedStates.BLS_UnemploymentRate.data|Blanco_Texas_UnitedStates.BLS_UnemploymentRate.missing|Blanco_Texas_UnitedStates.BLS_LaborForcePopulation.data|Blanco_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-02|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-03|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-04|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-05|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-06|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-07|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-08|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-09|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-10|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-11|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-12|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-13|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-14|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-15|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-16|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-17|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-18|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-19|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-20|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-21|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-22|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-23|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-24|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-25|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-26|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-27|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-28|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-29|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-30|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-01-31|6493.5|0|161.0|0|2.419415433165527|0|6654.5|0
0|2020-02-01|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-02|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-03|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-04|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-05|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-06|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-07|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-08|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-09|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-10|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-11|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
0|2020-02-12|6547.0|0|156.0|0|2.3273161271072653|0|6703.0|0
