|dates|Clark_Indiana_UnitedStates.BLS_EmployedPopulation.data|Clark_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Clark_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Clark_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Clark_Indiana_UnitedStates.BLS_UnemploymentRate.data|Clark_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Clark_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Clark_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-02|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-03|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-04|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-05|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-06|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-07|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-08|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-09|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-10|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-11|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-12|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-13|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-14|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-15|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-16|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-17|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-18|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-19|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-20|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-21|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-22|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-23|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-24|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-25|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-26|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-27|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-28|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-29|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-30|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-01-31|60089.5|0|2113.5|0|3.397746089416909|0|62203.0|0
0|2020-02-01|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-02|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-03|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-04|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-05|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-06|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-07|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-08|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-09|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-10|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-11|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-12|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-13|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-14|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-15|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-16|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-17|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-18|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-19|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-20|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-21|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-22|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-23|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-24|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-25|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-26|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-27|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-28|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-02-29|60264.0|0|1974.5|0|3.172473629666525|0|62238.5|0
0|2020-03-01|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-02|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-03|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-04|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-05|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-06|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-07|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-08|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-09|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-10|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-11|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-12|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-13|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-14|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-15|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-16|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-17|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-18|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-19|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-20|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-21|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-22|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-23|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-24|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-25|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-26|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-27|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-28|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-29|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-30|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-03-31|58743.0|0|1990.5|0|3.2774333769665835|0|60733.5|0
0|2020-04-01|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
0|2020-04-02|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
0|2020-04-03|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
0|2020-04-04|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
0|2020-04-05|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
0|2020-04-06|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
0|2020-04-07|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
0|2020-04-08|48090.5|0|10201.0|0|17.499978556050195|0|58291.5|0
