|dates|SanMateo_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SanMateo_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SanMateo_California_UnitedStates.Male_Total_Population.data|SanMateo_California_UnitedStates.Male_Total_Population.missing|SanMateo_California_UnitedStates.Female_Total_Population.data|SanMateo_California_UnitedStates.Female_Total_Population.missing|SanMateo_California_UnitedStates.MaleAndFemale_Under18_Population.data|SanMateo_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-02|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-03|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-04|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-05|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-06|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-07|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-08|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-09|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-10|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-11|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-12|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-13|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-14|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-15|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-16|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-17|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-18|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-19|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-20|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-21|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-22|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-23|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-24|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-25|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-26|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-27|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-28|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-29|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-30|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-01-31|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-02-01|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-02-02|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-02-03|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-02-04|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-02-05|123921.0|0|380308.0|0|389237.0|0|158383.0|0
0|2020-02-06|123921.0|0|380308.0|0|389237.0|0|158383.0|0
