|dates|ElPaso_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|ElPaso_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|ElPaso_Texas_UnitedStates.Male_Total_Population.data|ElPaso_Texas_UnitedStates.Male_Total_Population.missing|ElPaso_Texas_UnitedStates.Female_Total_Population.data|ElPaso_Texas_UnitedStates.Female_Total_Population.missing|ElPaso_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|ElPaso_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-02|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-03|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-04|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-05|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-06|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-07|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-08|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-09|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-10|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-11|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-12|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-13|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-14|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-15|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-16|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-17|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-18|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-19|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-20|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-21|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-22|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-23|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-24|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-25|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-26|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-27|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-28|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-29|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-30|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-01-31|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-01|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-02|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-03|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-04|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-05|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-06|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-07|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-08|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-09|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-10|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-11|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-12|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-13|103092.0|0|414214.0|0|426544.0|0|228000.0|0
0|2020-02-14|103092.0|0|414214.0|0|426544.0|0|228000.0|0
