|dates|Sebastian_Arkansas_UnitedStates.BLS_EmployedPopulation.data|Sebastian_Arkansas_UnitedStates.BLS_EmployedPopulation.missing|Sebastian_Arkansas_UnitedStates.BLS_UnemployedPopulation.data|Sebastian_Arkansas_UnitedStates.BLS_UnemployedPopulation.missing|Sebastian_Arkansas_UnitedStates.BLS_UnemploymentRate.data|Sebastian_Arkansas_UnitedStates.BLS_UnemploymentRate.missing|Sebastian_Arkansas_UnitedStates.BLS_LaborForcePopulation.data|Sebastian_Arkansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-02|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-03|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-04|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-05|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-06|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-07|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-08|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-09|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-10|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-11|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-12|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-13|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-14|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-15|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-16|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-17|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-18|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-19|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-20|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-21|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-22|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
0|2020-01-23|53791.0|0|2230.0|0|3.9806501133503507|0|56021.0|0
