|dates|Clinton_Michigan_UnitedStates.BLS_EmployedPopulation.data|Clinton_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Clinton_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Clinton_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Clinton_Michigan_UnitedStates.BLS_UnemploymentRate.data|Clinton_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Clinton_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Clinton_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-02|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-03|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-04|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-05|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-06|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-07|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-08|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-09|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-10|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-11|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-12|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-13|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-14|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-15|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-16|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-17|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-18|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-19|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-20|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-21|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-22|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-23|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-24|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-25|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-26|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-27|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-28|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-29|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-30|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-01-31|39913.0|0|1181.5|0|2.875080606893867|0|41094.5|0
0|2020-02-01|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-02|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-03|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-04|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-05|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-06|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-07|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-08|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-09|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-10|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-11|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-12|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-13|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-14|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-15|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-16|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-17|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-18|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-19|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-20|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-21|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-22|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-23|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-24|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-25|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-26|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-27|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-28|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-02-29|40836.0|0|1057.0|0|2.5230945504022153|0|41893.0|0
0|2020-03-01|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-02|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-03|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-04|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-05|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-06|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-07|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-08|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-09|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-10|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-11|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-12|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-13|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-14|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-15|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-16|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-17|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-18|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-19|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-20|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-21|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-22|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-23|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-24|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-25|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-26|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-27|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-28|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-29|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-30|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-03-31|40063.0|0|1152.5|0|2.796278099258774|0|41215.5|0
0|2020-04-01|31660.5|0|7278.5|0|18.69205680680038|0|38939.0|0
0|2020-04-02|31660.5|0|7278.5|0|18.69205680680038|0|38939.0|0
0|2020-04-03|31660.5|0|7278.5|0|18.69205680680038|0|38939.0|0
