|dates|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-03|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-04|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-05|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-06|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-07|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-08|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-09|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-10|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-11|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-12|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-13|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-14|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-15|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-16|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-17|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-18|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-19|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-20|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-21|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-22|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-23|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-24|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-25|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-26|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-27|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-28|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-29|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-30|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-03-31|18169.5|0|1031.0|0|5.369651831983542|0|19200.5|0
0|2020-04-01|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-02|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-03|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-04|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-05|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-06|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-07|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-08|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-09|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-10|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-11|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-12|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-13|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-14|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-15|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-16|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-17|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-18|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-19|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-20|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-21|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-22|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-23|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-24|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-25|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-26|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-27|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-28|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-29|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-04-30|15770.5|0|3816.5|0|19.48486240874049|0|19587.0|0
0|2020-05-01|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-02|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-03|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-04|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-05|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-06|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-07|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-08|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-09|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-10|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-11|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-12|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-13|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-14|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-15|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-16|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-17|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-18|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-19|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-20|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-21|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-22|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-23|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-24|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-25|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-26|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-27|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-28|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-29|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-30|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-05-31|16951.0|0|2629.0|0|13.426966292134832|0|19580.0|0
0|2020-06-01|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-02|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-03|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-04|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-05|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-06|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-07|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-08|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-09|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-10|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-11|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-12|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-13|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-14|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-15|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-16|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-17|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-18|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-19|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-20|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-21|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-22|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-23|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-24|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-25|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-26|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-27|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-28|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-29|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-06-30|17887.0|0|1984.0|0|9.98439937597504|0|19871.0|0
0|2020-07-01|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-02|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-03|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-04|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-05|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-06|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-07|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-08|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-09|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-10|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-11|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-12|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-13|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-14|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-15|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-16|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-17|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-18|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-19|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-20|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-21|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-22|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-23|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
