|dates|Washington_Oklahoma_UnitedStates.BLS_EmployedPopulation.data|Washington_Oklahoma_UnitedStates.BLS_EmployedPopulation.missing|Washington_Oklahoma_UnitedStates.BLS_UnemployedPopulation.data|Washington_Oklahoma_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Oklahoma_UnitedStates.BLS_UnemploymentRate.data|Washington_Oklahoma_UnitedStates.BLS_UnemploymentRate.missing|Washington_Oklahoma_UnitedStates.BLS_LaborForcePopulation.data|Washington_Oklahoma_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-02|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-03|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-04|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-05|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-06|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-07|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-08|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-09|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-10|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-11|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-12|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-13|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-14|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-15|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-16|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-17|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-18|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-19|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-20|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-21|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-22|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-23|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-24|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-25|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-26|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-27|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-28|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-29|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-30|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-01-31|21366.5|0|712.0|0|3.22485676110243|0|22078.5|0
0|2020-02-01|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-02|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-03|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-04|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-05|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-06|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-07|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-08|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-09|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-10|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-11|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-12|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-13|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-14|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-15|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-16|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-17|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-18|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-19|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-20|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-21|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-22|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-23|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-24|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-25|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-26|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-27|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-28|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-02-29|21465.0|0|697.5|0|3.1472081218274113|0|22162.5|0
0|2020-03-01|21422.0|0|724.5|0|3.2713972862529066|0|22146.5|0
0|2020-03-02|21422.0|0|724.5|0|3.2713972862529066|0|22146.5|0
0|2020-03-03|21422.0|0|724.5|0|3.2713972862529066|0|22146.5|0
0|2020-03-04|21422.0|0|724.5|0|3.2713972862529066|0|22146.5|0
