|dates|Washington_Kansas_UnitedStates.BLS_EmployedPopulation.data|Washington_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Washington_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Washington_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Kansas_UnitedStates.BLS_UnemploymentRate.data|Washington_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Washington_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Washington_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-02|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-03|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-04|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-05|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-06|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-07|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-08|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-09|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-10|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-11|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-12|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-13|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-14|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-15|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-16|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-17|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-18|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-19|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-20|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
0|2020-01-21|2841.0|0|76.5|0|2.622107969151671|0|2917.5|0
