|dates|Antrim_Michigan_UnitedStates.BLS_EmployedPopulation.data|Antrim_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Antrim_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Antrim_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Antrim_Michigan_UnitedStates.BLS_UnemploymentRate.data|Antrim_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Antrim_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Antrim_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-02|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-03|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-04|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-05|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-06|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-07|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-08|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-09|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-10|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-11|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-12|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-13|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-14|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-15|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-16|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-17|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-18|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-19|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-20|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-21|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-22|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-23|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-24|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-25|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-26|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-27|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-28|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-29|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-30|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-01-31|9372.5|0|617.0|0|6.176485309575054|0|9989.5|0
0|2020-02-01|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-02|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-03|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-04|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-05|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-06|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-07|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-08|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-09|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-10|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-11|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-12|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-13|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-14|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-15|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-16|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-17|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-18|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-19|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
0|2020-02-20|9497.0|0|571.0|0|5.671434247119587|0|10068.0|0
