|dates|Horry_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Horry_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Horry_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Horry_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Horry_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Horry_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Horry_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Horry_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-02|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-03|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-04|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-05|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-06|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-07|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-08|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-09|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-10|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-11|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-12|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-13|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-14|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-15|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-16|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-17|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-18|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-19|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-20|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-21|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-22|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-23|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-24|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-25|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-26|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-27|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
0|2020-01-28|137488.5|0|6548.0|0|4.5460699197772785|0|144036.5|0
