|dates|Smith_Kansas_UnitedStates.BLS_EmployedPopulation.data|Smith_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Smith_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Smith_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Smith_Kansas_UnitedStates.BLS_UnemploymentRate.data|Smith_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Smith_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Smith_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-02|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-03|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-04|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-05|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-06|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-07|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-08|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-09|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-10|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-11|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-12|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-13|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-14|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-15|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-16|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-17|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-18|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-19|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-20|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-21|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-22|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-23|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-24|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-25|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-26|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-27|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-28|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-29|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
0|2020-01-30|1896.5|0|50.5|0|2.593733949666153|0|1947.0|0
