|dates|RioGrande_Colorado_UnitedStates.BLS_EmployedPopulation.data|RioGrande_Colorado_UnitedStates.BLS_EmployedPopulation.missing|RioGrande_Colorado_UnitedStates.BLS_UnemployedPopulation.data|RioGrande_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|RioGrande_Colorado_UnitedStates.BLS_UnemploymentRate.data|RioGrande_Colorado_UnitedStates.BLS_UnemploymentRate.missing|RioGrande_Colorado_UnitedStates.BLS_LaborForcePopulation.data|RioGrande_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-02|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-03|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-04|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-05|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-06|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-07|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-08|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-09|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-10|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-11|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-12|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-13|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-14|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-15|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-16|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-17|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-18|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-19|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-20|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-21|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-22|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-23|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
0|2020-01-24|5036.0|0|276.0|0|5.195783132530121|0|5312.0|0
