|dates|Kendall_Texas_UnitedStates.BLS_EmployedPopulation.data|Kendall_Texas_UnitedStates.BLS_EmployedPopulation.missing|Kendall_Texas_UnitedStates.BLS_UnemployedPopulation.data|Kendall_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Kendall_Texas_UnitedStates.BLS_UnemploymentRate.data|Kendall_Texas_UnitedStates.BLS_UnemploymentRate.missing|Kendall_Texas_UnitedStates.BLS_LaborForcePopulation.data|Kendall_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-02|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-03|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-04|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-05|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-06|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-07|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-08|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-09|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-10|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-11|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-12|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-13|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-14|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-15|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-16|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-17|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-18|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-19|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-20|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-21|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-22|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-23|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
0|2020-01-24|21913.0|0|633.5|0|2.80974874148981|0|22546.5|0
