|dates|SantaCruz_Arizona_UnitedStates.BLS_EmployedPopulation.data|SantaCruz_Arizona_UnitedStates.BLS_EmployedPopulation.missing|SantaCruz_Arizona_UnitedStates.BLS_UnemployedPopulation.data|SantaCruz_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|SantaCruz_Arizona_UnitedStates.BLS_UnemploymentRate.data|SantaCruz_Arizona_UnitedStates.BLS_UnemploymentRate.missing|SantaCruz_Arizona_UnitedStates.BLS_LaborForcePopulation.data|SantaCruz_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-03|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-04|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-05|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-06|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-07|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-08|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-09|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-10|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-11|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-12|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-13|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-14|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-15|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-16|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-17|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-18|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-19|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-20|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-21|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-22|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-23|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-24|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-25|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-26|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-27|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-28|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-29|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-30|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-03-31|18153.5|0|1937.5|0|9.643621522074561|0|20091.0|0
0|2020-04-01|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-02|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-03|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-04|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-05|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-06|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-07|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-08|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-09|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-10|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-11|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-12|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-13|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-14|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-15|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-16|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-17|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-18|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-19|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-20|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-21|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-22|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-23|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-24|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
