|dates|Colfax_NewMexico_UnitedStates.AveragePrecipitationTotal.data|Colfax_NewMexico_UnitedStates.AveragePrecipitationTotal.missing|Colfax_NewMexico_UnitedStates.AveragePrecipitation.data|Colfax_NewMexico_UnitedStates.AveragePrecipitation.missing|Colfax_NewMexico_UnitedStates.AverageWindDirection.data|Colfax_NewMexico_UnitedStates.AverageWindDirection.missing|Colfax_NewMexico_UnitedStates.AverageWindSpeed.data|Colfax_NewMexico_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|116.25|0|5.916666666666667|0
0|2020-01-02|0.0|0|0.0|0|79.375|0|9.895833333333334|0
0|2020-01-03|0.0|0|0.0|0|129.58333333333334|0|6.041666666666667|0
0|2020-01-04|0.0|0|0.0|0|66.66666666666667|0|6.0|0
0|2020-01-05|0.0|0|0.0|0|141.875|0|9.4375|0
0|2020-01-06|0.0|0|0.0|0|116.66666666666667|0|7.166666666666667|0
0|2020-01-07|0.0|0|0.0|0|137.91666666666666|0|6.375|0
0|2020-01-08|0.0|0|0.0|0|163.33333333333334|0|7.875|0
0|2020-01-09|0.0|0|0.0|0|210.20833333333334|0|9.958333333333334|0
0|2020-01-10|0.0|0|0.0|0|69.47916666666667|0|13.572916666666666|0
0|2020-01-11|0.0|0|0.0|0|144.375|0|5.972222222222221|0
0|2020-01-12|0.0|0|0.0|0|204.16666666666666|0|9.645833333333334|0
0|2020-01-13|0.0|0|0.0|0|167.08333333333334|0|9.208333333333334|0
0|2020-01-14|0.0|0|0.0|0|142.91666666666666|0|8.25|0
0|2020-01-15|0.0|0|0.0|0|150.20833333333334|0|8.854166666666666|0
0|2020-01-16|0.0|0|0.0032916666666666663|0|97.11805555555556|0|3.702777777777778|0
0|2020-01-17|0.0|0|0.0|0|247.0138888888889|0|10.347222222222221|0
0|2020-01-18|0.0|0|0.0|0|196.25|0|7.625|0
0|2020-01-19|0.0|0|0.0|0|112.91666666666667|0|5.25|0
0|2020-01-20|0.0|0|0.0|0|125.41666666666667|0|4.791666666666667|0
0|2020-01-21|0.0|0|0.0|0|139.02777777777777|0|4.965277777777778|0
0|2020-01-22|0.0|0|0.0|0|78.05555555555556|0|6.406944444444444|0
0|2020-01-23|0.0|0|0.0|0|77.08333333333333|0|4.916666666666667|0
0|2020-01-24|0.0|0|0.0|0|135.41666666666666|0|5.708333333333333|0
0|2020-01-25|0.0|0|0.0|0|65.83333333333333|0|7.791666666666667|0
0|2020-01-26|0.0|0|0.0|0|112.5|0|7.041666666666667|0
0|2020-01-27|0.0|0|0.0011458333333333336|0|108.33333333333333|0|8.409722222222223|0
0|2020-01-28|0.0016666666666666668|0|0.0|0|116.25|0|10.75|0
0|2020-01-29|0.0|0|0.0|0|106.66666666666667|0|3.4583333333333335|0
0|2020-01-30|0.0|0|0.0|0|105.83333333333333|0|10.75|0
0|2020-01-31|0.0|0|0.0|0|159.375|0|7.416666666666667|0
0|2020-02-01|0.0|0|0.0|0|50.625|0|4.895833333333333|0
0|2020-02-02|0.0|0|0.0|0|122.5|0|8.625|0
0|2020-02-03|0.0|0|0.0002777777777777778|0|168.61111111111111|0|12.638888888888891|0
0|2020-02-04|0.0011111111111111111|0|0.0018333333333333333|0|225.61111111111111|0|13.122222222222222|0
0|2020-02-05|0.0|0|0.0|0|85.0|0|7.583333333333333|0
0|2020-02-06|0.0|0|0.0|0|135.41666666666666|0|10.208333333333334|0
0|2020-02-07|0.0|0|0.0|0|143.4375|0|7.614583333333333|0
0|2020-02-08|0.0|0|0.0|0|133.75|0|6.708333333333333|0
0|2020-02-09|0.0|0|0.0|0|89.58333333333333|0|9.416666666666666|0
0|2020-02-10|0.0|0|0.0004166666666666667|0|161.875|0|9.159722222222223|0
0|2020-02-11|0.00125|0|0.0020833333333333337|0|165.52083333333334|0|8.243055555555555|0
0|2020-02-12|0.0004166666666666667|0|0.0|0|114.375|0|11.236111111111112|0
0|2020-02-13|0.0008333333333333334|0|0.0014236111111111114|0|156.38194444444446|0|6.813888888888889|0
0|2020-02-14|0.0|0|0.0|0|159.86111111111111|0|5.902777777777779|0
0|2020-02-15|0.0|0|0.0|0|125.0|0|10.979166666666666|0
0|2020-02-16|0.0|0|0.0|0|155.83333333333334|0|10.291666666666666|0
0|2020-02-17|0.0|0|0.0|0|87.08333333333333|0|8.291666666666666|0
0|2020-02-18|0.0|0|0.0|0|179.02777777777774|0|10.583333333333334|0
0|2020-02-19|0.0004166666666666667|0|0.0030208333333333333|0|176.11111111111111|0|12.074305555555554|0
0|2020-02-20|0.0033333333333333335|0|0.0|0|164.79166666666666|0|7.590277777777779|0
0|2020-02-21|0.0|0|0.0|0|93.125|0|4.625|0
0|2020-02-22|0.0|0|0.0|0|152.91666666666666|0|6.125|0
0|2020-02-23|0.0|0|0.0|0|134.16666666666666|0|12.666666666666666|0
0|2020-02-24|0.0|0|0.0|0|155.13888888888889|0|10.583333333333334|0
0|2020-02-25|0.0|0|0.0|0|123.54166666666667|0|17.6875|0
0|2020-02-26|0.0|0|0.0|0|151.04166666666666|0|6.8125|0
0|2020-02-27|0.0|0|0.0|0|179.375|0|10.25|0
0|2020-02-28|0.0|0|0.0|0|135.41666666666666|0|6.625|0
0|2020-02-29|0.0|0|0.0|0|124.375|0|7.8125|0
0|2020-03-01|0.0|0|0.0|0|150.625|0|8.5|0
0|2020-03-02|0.0|0|0.0|0|200.41666666666666|0|12.666666666666666|0
0|2020-03-03|0.0|0|0.0|0|125.83333333333333|0|8.041666666666666|0
0|2020-03-04|0.0|0|0.0|0|180.41666666666666|0|11.458333333333334|0
0|2020-03-05|0.0|0|0.0|0|125.83333333333333|0|8.791666666666666|0
0|2020-03-06|0.0|0|0.0|0|199.58333333333334|0|12.458333333333334|0
0|2020-03-07|0.0|0|0.0|0|170.0|0|8.041666666666666|0
0|2020-03-08|0.0|0|0.0|0|177.08333333333334|0|10.1875|0
0|2020-03-09|0.0|0|0.0|0|164.58333333333334|0|10.416666666666666|0
0|2020-03-10|0.0|0|0.0|0|138.33333333333334|0|10.583333333333334|0
0|2020-03-11|0.0|0|0.0|0|195.83333333333334|0|11.3125|0
0|2020-03-12|0.0|0|0.0|0|147.91666666666666|0|10.75|0
0|2020-03-13|0.000625|0|0.007944444444444445|0|163.10416666666666|0|10.604166666666666|0
0|2020-03-14|0.0025|0|0.0|0|184.54861111111111|0|7.847222222222222|0
0|2020-03-15|0.0|0|0.0|0|209.23611111111111|0|12.319444444444445|0
0|2020-03-16|0.0|0|0.0|0|158.4027777777778|0|7.138888888888889|0
0|2020-03-17|0.0|0|0.0|0|195.72916666666666|0|13.0|0
0|2020-03-18|0.0|0|0.0020833333333333333|0|152.5|0|10.583333333333334|0
0|2020-03-19|0.00036458333333333335|0|0.000625|0|185.46875|0|19.528125|0
0|2020-03-20|0.0|0|0.0|0|197.5|0|12.354166666666666|0
0|2020-03-21|0.0|0|0.0009166666666666666|0|126.09722222222223|0|6.845833333333334|0
0|2020-03-22|0.0004166666666666667|0|0.0|0|183.47222222222226|0|10.055555555555555|0
0|2020-03-23|0.0|0|0.0|0|155.20833333333334|0|13.645833333333334|0
0|2020-03-24|0.0|0|0.0|0|164.58333333333334|0|13.229166666666666|0
0|2020-03-25|0.0|0|0.0|0|213.33333333333334|0|13.895833333333334|0
0|2020-03-26|0.0|0|0.0|0|200.0|0|14.395833333333334|0
0|2020-03-27|0.0|0|0.0|0|209.16666666666666|0|17.01388888888889|0
0|2020-03-28|0.0|0|0.0|0|279.375|0|14.208333333333334|0
