|dates|Delta_Colorado_UnitedStates.BLS_EmployedPopulation.data|Delta_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Delta_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Delta_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Delta_Colorado_UnitedStates.BLS_UnemploymentRate.data|Delta_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Delta_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Delta_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-02|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-03|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-04|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-05|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-06|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-07|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-08|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-09|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-10|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-11|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-12|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-13|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-14|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-15|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-16|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-17|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-18|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-19|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-20|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-21|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-22|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-23|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-24|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-25|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-26|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-27|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-28|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-29|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-30|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-01-31|13528.0|0|586.5|0|4.155301285911651|0|14114.5|0
0|2020-02-01|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-02|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-03|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-04|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-05|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-06|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-07|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-08|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
0|2020-02-09|13521.0|0|584.0|0|4.140375753278979|0|14105.0|0
