|dates|Sherman_Kansas_UnitedStates.BLS_EmployedPopulation.data|Sherman_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Sherman_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Sherman_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Sherman_Kansas_UnitedStates.BLS_UnemploymentRate.data|Sherman_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Sherman_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Sherman_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-02|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-03|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-04|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-05|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-06|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-07|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-08|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-09|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-10|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-11|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-12|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-13|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-14|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-15|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-16|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-17|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-18|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-19|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-20|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-21|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-22|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-23|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-24|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-25|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-26|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-27|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-28|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-29|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-30|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-01-31|2705.0|0|75.0|0|2.697841726618705|0|2780.0|0
0|2020-02-01|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-02|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-03|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-04|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-05|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-06|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-07|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-08|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-09|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-10|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-11|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-12|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-13|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-14|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-15|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-16|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-17|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-18|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-19|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-20|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-21|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-22|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-23|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
0|2020-02-24|2734.0|0|79.0|0|2.808389619623178|0|2813.0|0
