|dates|Overton_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Overton_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Overton_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Overton_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Overton_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Overton_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Overton_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Overton_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-02|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-03|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-04|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-05|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-06|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-07|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-08|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-09|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-10|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-11|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-12|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-13|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-14|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-15|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-16|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-17|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-18|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-19|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-20|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-21|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-22|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-23|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-24|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-25|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-26|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-27|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-28|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-29|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-30|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-01-31|9568.0|0|495.0|0|4.9190102355162475|0|10063.0|0
0|2020-02-01|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-02|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-03|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-04|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-05|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-06|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-07|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-08|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-09|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-10|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-11|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-12|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-13|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-14|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-15|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-16|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-17|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-18|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
0|2020-02-19|9661.5|0|480.5|0|4.737724314730822|0|10142.0|0
