|dates|Chase_Kansas_UnitedStates.BLS_EmployedPopulation.data|Chase_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Chase_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Chase_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Chase_Kansas_UnitedStates.BLS_UnemploymentRate.data|Chase_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Chase_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Chase_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-02|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-03|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-04|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-05|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-06|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-07|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-08|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-09|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-10|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-11|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-12|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-13|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-14|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-15|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-16|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-17|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-18|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
0|2020-01-19|1453.0|0|43.5|0|2.906782492482459|0|1496.5|0
