|dates|Laramie_Wyoming_UnitedStates.BLS_EmployedPopulation.data|Laramie_Wyoming_UnitedStates.BLS_EmployedPopulation.missing|Laramie_Wyoming_UnitedStates.BLS_UnemployedPopulation.data|Laramie_Wyoming_UnitedStates.BLS_UnemployedPopulation.missing|Laramie_Wyoming_UnitedStates.BLS_UnemploymentRate.data|Laramie_Wyoming_UnitedStates.BLS_UnemploymentRate.missing|Laramie_Wyoming_UnitedStates.BLS_LaborForcePopulation.data|Laramie_Wyoming_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-02|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-03|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-04|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-05|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-06|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-07|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-08|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-09|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-10|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-11|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-12|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-13|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-14|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-15|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-16|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-17|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-18|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-19|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-20|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-21|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-22|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-23|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-24|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-25|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-26|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-27|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-28|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-29|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-30|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-01-31|47620.5|0|2090.5|0|4.20530667256744|0|49711.0|0
0|2020-02-01|47909.5|0|2150.5|0|4.29584498601678|0|50060.0|0
