|dates|Glasscock_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Glasscock_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Glasscock_Texas_UnitedStates.Male_Total_Population.data|Glasscock_Texas_UnitedStates.Male_Total_Population.missing|Glasscock_Texas_UnitedStates.Female_Total_Population.data|Glasscock_Texas_UnitedStates.Female_Total_Population.missing|Glasscock_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Glasscock_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-02|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-03|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-04|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-05|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-06|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-07|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-08|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-09|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-10|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-11|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-12|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-13|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-14|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-15|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-16|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-17|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-18|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-19|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-20|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-21|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-22|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-23|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-24|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-25|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-26|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-27|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-28|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-29|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-30|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-01-31|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-02-01|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-02-02|211.0|0|765.0|0|623.0|0|363.0|0
0|2020-02-03|211.0|0|765.0|0|623.0|0|363.0|0
