|dates|Laclede_Missouri_UnitedStates.BLS_EmployedPopulation.data|Laclede_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Laclede_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Laclede_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Laclede_Missouri_UnitedStates.BLS_UnemploymentRate.data|Laclede_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Laclede_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Laclede_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-02|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-03|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-04|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-05|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-06|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-07|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-08|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-09|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-10|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-11|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-12|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-13|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-14|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-15|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-16|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-17|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-18|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-19|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-20|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-21|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-22|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-23|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-24|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-25|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-26|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-27|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-28|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-29|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-30|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-01-31|15985.0|0|1216.5|0|7.072057669389298|0|17201.5|0
0|2020-02-01|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-02|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-03|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-04|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-05|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-06|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-07|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-08|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-09|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-10|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-11|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-12|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-13|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-14|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-15|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-16|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-17|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-18|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-19|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-20|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-21|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-22|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-23|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-24|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-25|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-26|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-27|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-28|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
0|2020-02-29|16068.5|0|1046.0|0|6.111776563732508|0|17114.5|0
