|dates|Thomas_Georgia_UnitedStates.BLS_EmployedPopulation.data|Thomas_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Thomas_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Thomas_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Thomas_Georgia_UnitedStates.BLS_UnemploymentRate.data|Thomas_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Thomas_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Thomas_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-02|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-03|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-04|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-05|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-06|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-07|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-08|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-09|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-10|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-11|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-12|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-13|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-14|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-15|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-16|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-17|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-18|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-19|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
0|2020-01-20|16171.0|0|671.0|0|3.984087400546253|0|16842.0|0
