|dates|Franklin_Texas_UnitedStates.BLS_EmployedPopulation.data|Franklin_Texas_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Texas_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Texas_UnitedStates.BLS_UnemploymentRate.data|Franklin_Texas_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Texas_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-02|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-03|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-04|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-05|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-06|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-07|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-08|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-09|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-10|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-11|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-12|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-13|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-14|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-15|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-16|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-17|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-18|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-19|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-20|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-21|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-22|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-23|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-24|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-25|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-26|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-27|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-28|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-29|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-30|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-01-31|4512.0|0|165.5|0|3.538214858364511|0|4677.5|0
0|2020-02-01|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-02|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-03|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-04|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-05|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-06|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-07|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-08|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-09|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-10|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-11|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-12|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-13|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-14|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-15|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-16|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-17|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-18|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-19|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-20|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-21|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-22|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-23|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-24|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-25|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-26|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-27|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-28|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-02-29|4597.0|0|159.0|0|3.3431455004205213|0|4756.0|0
0|2020-03-01|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-02|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-03|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-04|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-05|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-06|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-07|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-08|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-09|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-10|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-11|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-12|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-13|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-14|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-15|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-16|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-17|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-18|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-19|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-20|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-21|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-22|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-23|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-24|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-25|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-26|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-27|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-28|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-29|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-30|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-03-31|4459.0|0|217.0|0|4.640718562874252|0|4676.0|0
0|2020-04-01|3951.5|0|355.5|0|8.25400510796378|0|4307.0|0
0|2020-04-02|3951.5|0|355.5|0|8.25400510796378|0|4307.0|0
0|2020-04-03|3951.5|0|355.5|0|8.25400510796378|0|4307.0|0
0|2020-04-04|3951.5|0|355.5|0|8.25400510796378|0|4307.0|0
0|2020-04-05|3951.5|0|355.5|0|8.25400510796378|0|4307.0|0
0|2020-04-06|3951.5|0|355.5|0|8.25400510796378|0|4307.0|0
0|2020-04-07|3951.5|0|355.5|0|8.25400510796378|0|4307.0|0
