|dates|Fulton_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Fulton_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Fulton_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Fulton_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Fulton_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Fulton_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Fulton_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Fulton_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-02|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-03|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-04|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-05|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-06|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-07|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-08|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-09|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-10|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-11|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-12|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-13|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-14|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-15|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-16|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-17|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-18|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-19|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-20|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-21|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-22|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-23|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-24|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-25|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-26|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-27|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-28|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-29|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-30|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-01-31|7478.0|0|515.5|0|6.448989804215925|0|7993.5|0
0|2020-02-01|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-02|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-03|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-04|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-05|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-06|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-07|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-08|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-09|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-10|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-11|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-12|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-13|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-14|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-15|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-16|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-17|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-18|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-19|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-20|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-21|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-22|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-23|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-24|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-25|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-26|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-27|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-28|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-02-29|7432.0|0|633.5|0|7.854441758105511|0|8065.5|0
0|2020-03-01|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-02|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-03|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-04|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-05|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-06|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-07|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-08|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-09|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-10|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-11|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-12|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-13|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-14|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-15|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-16|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-17|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-18|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-19|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-20|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-21|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-22|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-23|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-24|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-25|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-26|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-27|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-28|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-29|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-30|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-03-31|7333.5|0|552.0|0|7.000190222560396|0|7885.5|0
0|2020-04-01|6428.5|0|1382.0|0|17.694129697202484|0|7810.5|0
