|dates|Lincoln_Missouri_UnitedStates.BLS_EmployedPopulation.data|Lincoln_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Lincoln_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Lincoln_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Lincoln_Missouri_UnitedStates.BLS_UnemploymentRate.data|Lincoln_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Lincoln_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Lincoln_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-02|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-03|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-04|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-05|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-06|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-07|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-08|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-09|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-10|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-11|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-12|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-13|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-14|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-15|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-16|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-17|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-18|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-19|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-20|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-21|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-22|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-23|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-24|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-25|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-26|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-27|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-28|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-29|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
0|2020-01-30|27701.5|0|1562.5|0|5.339324767632586|0|29264.0|0
