|dates|Mingo_WestVirginia_UnitedStates.BLS_EmployedPopulation.data|Mingo_WestVirginia_UnitedStates.BLS_EmployedPopulation.missing|Mingo_WestVirginia_UnitedStates.BLS_UnemployedPopulation.data|Mingo_WestVirginia_UnitedStates.BLS_UnemployedPopulation.missing|Mingo_WestVirginia_UnitedStates.BLS_UnemploymentRate.data|Mingo_WestVirginia_UnitedStates.BLS_UnemploymentRate.missing|Mingo_WestVirginia_UnitedStates.BLS_LaborForcePopulation.data|Mingo_WestVirginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-02|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-03|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-04|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-05|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-06|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-07|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-08|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-09|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-10|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-11|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-12|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-13|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-14|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-15|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-16|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-17|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-18|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-19|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-20|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-21|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-22|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-23|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-24|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-25|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-26|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-27|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-28|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-29|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-30|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-01-31|6352.5|0|687.5|0|9.765625|0|7040.0|0
0|2020-02-01|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-02|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-03|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-04|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-05|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-06|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-07|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-08|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-09|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-10|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-11|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-12|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-13|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-14|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-15|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-16|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-17|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-18|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-19|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-20|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-21|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-22|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-23|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-24|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-25|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-26|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-27|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-28|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-02-29|6343.5|0|717.0|0|10.155088166560441|0|7060.5|0
0|2020-03-01|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-02|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-03|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-04|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-05|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-06|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-07|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-08|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-09|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-10|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-11|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-12|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-13|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-14|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-15|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-16|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-17|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-18|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-19|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-20|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-21|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
0|2020-03-22|6286.0|0|837.5|0|11.756861093563558|0|7123.5|0
