|dates|Marquette_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Marquette_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Marquette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Marquette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Marquette_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Marquette_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Marquette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Marquette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-02|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-03|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-04|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-05|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-06|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-07|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-08|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-09|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-10|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-11|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-12|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-13|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-14|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-15|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-16|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-17|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-18|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-19|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-20|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-21|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-22|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-23|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
0|2020-01-24|7281.5|0|409.0|0|5.318249788700345|0|7690.5|0
