|dates|Custer_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Custer_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Custer_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Custer_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Custer_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Custer_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Custer_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Custer_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-02|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-03|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-04|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-05|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-06|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-07|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-08|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-09|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-10|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-11|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-12|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-13|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-14|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-15|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-16|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-17|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-18|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-19|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-20|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-21|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-22|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-23|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-24|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-25|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-26|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-27|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-28|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-29|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-30|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-01-31|3771.0|0|205.0|0|5.155935613682092|0|3976.0|0
0|2020-02-01|3793.0|0|200.5|0|5.020658570176537|0|3993.5|0
0|2020-02-02|3793.0|0|200.5|0|5.020658570176537|0|3993.5|0
0|2020-02-03|3793.0|0|200.5|0|5.020658570176537|0|3993.5|0
0|2020-02-04|3793.0|0|200.5|0|5.020658570176537|0|3993.5|0
