|dates|Daggett_Utah_UnitedStates.BLS_EmployedPopulation.data|Daggett_Utah_UnitedStates.BLS_EmployedPopulation.missing|Daggett_Utah_UnitedStates.BLS_UnemployedPopulation.data|Daggett_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Daggett_Utah_UnitedStates.BLS_UnemploymentRate.data|Daggett_Utah_UnitedStates.BLS_UnemploymentRate.missing|Daggett_Utah_UnitedStates.BLS_LaborForcePopulation.data|Daggett_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-02|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-03|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-04|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-05|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-06|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-07|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-08|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-09|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-10|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-11|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-12|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-13|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-14|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-15|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-16|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-17|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-18|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-19|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-20|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-21|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-22|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-23|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-24|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-25|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-26|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-27|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-28|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-29|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-30|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-01-31|299.5|0|20.5|0|6.40625|0|320.0|0
0|2020-02-01|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-02|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-03|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-04|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-05|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-06|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-07|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-08|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-09|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-10|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-11|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-12|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-13|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-14|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-15|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-16|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-17|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-18|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-19|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-20|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-21|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-22|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-23|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-24|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-25|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-26|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-27|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-28|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-02-29|313.0|0|13.5|0|4.134762633996937|0|326.5|0
0|2020-03-01|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-02|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-03|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-04|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-05|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-06|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-07|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-08|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-09|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-10|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-11|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-12|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-13|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-14|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-15|336.5|0|19.0|0|5.344585091420535|0|355.5|0
0|2020-03-16|336.5|0|19.0|0|5.344585091420535|0|355.5|0
