|dates|Door_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Door_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Door_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Door_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Door_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Door_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Door_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Door_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-02|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-03|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-04|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-05|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-06|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-07|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-08|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-09|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-10|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-11|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-12|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-13|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-14|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-15|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-16|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-17|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-18|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-19|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-20|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-21|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-22|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-23|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-24|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-25|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-26|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-27|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-28|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-29|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-30|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-01-31|13291.5|0|763.0|0|5.428866199437903|0|14054.5|0
0|2020-02-01|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-02|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-03|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-04|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-05|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-06|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-07|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-08|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-09|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-10|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-11|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-12|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-13|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-14|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-15|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-16|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-17|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-18|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-19|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-20|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-21|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-22|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-23|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-24|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-25|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-26|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-27|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-28|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-02-29|13064.0|0|756.5|0|5.473752758583264|0|13820.5|0
0|2020-03-01|13098.0|0|721.5|0|5.220883534136546|0|13819.5|0
0|2020-03-02|13098.0|0|721.5|0|5.220883534136546|0|13819.5|0
