|dates|SanJuan_Washington_UnitedStates.BLS_EmployedPopulation.data|SanJuan_Washington_UnitedStates.BLS_EmployedPopulation.missing|SanJuan_Washington_UnitedStates.BLS_UnemployedPopulation.data|SanJuan_Washington_UnitedStates.BLS_UnemployedPopulation.missing|SanJuan_Washington_UnitedStates.BLS_UnemploymentRate.data|SanJuan_Washington_UnitedStates.BLS_UnemploymentRate.missing|SanJuan_Washington_UnitedStates.BLS_LaborForcePopulation.data|SanJuan_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-02|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-03|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-04|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-05|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-06|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-07|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-08|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-09|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-10|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-11|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-12|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-13|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-14|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-15|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-16|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-17|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-18|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-19|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-20|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-21|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-22|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-23|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-24|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-25|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-26|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-27|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-28|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-29|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-30|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-01-31|8072.0|0|420.0|0|4.945831370701837|0|8492.0|0
0|2020-02-01|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-02|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-03|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-04|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-05|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-06|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-07|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-08|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-09|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-10|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-11|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-12|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-13|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
0|2020-02-14|7919.5|0|377.0|0|4.544084855059363|0|8296.5|0
