|dates|Warren_Indiana_UnitedStates.BLS_EmployedPopulation.data|Warren_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Warren_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Warren_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Warren_Indiana_UnitedStates.BLS_UnemploymentRate.data|Warren_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Warren_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Warren_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-02|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-03|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-04|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-05|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-06|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-07|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-08|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-09|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-10|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-11|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-12|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-13|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-14|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-15|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-16|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-17|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-18|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-19|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-20|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-21|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-22|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-23|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-24|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-25|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-26|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-27|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-28|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-29|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
0|2020-01-30|3998.5|0|133.0|0|3.2191697930533705|0|4131.5|0
