|dates|Crane_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Crane_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Crane_Texas_UnitedStates.Male_Total_Population.data|Crane_Texas_UnitedStates.Male_Total_Population.missing|Crane_Texas_UnitedStates.Female_Total_Population.data|Crane_Texas_UnitedStates.Female_Total_Population.missing|Crane_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Crane_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-02|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-03|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-04|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-05|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-06|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-07|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-08|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-09|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-10|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-11|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-12|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-13|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-14|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-15|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-16|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-17|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-18|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-19|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-20|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-21|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-22|572.0|0|2415.0|0|2379.0|0|1409.0|0
0|2020-01-23|572.0|0|2415.0|0|2379.0|0|1409.0|0
