|dates|Rockingham_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Rockingham_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Rockingham_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Rockingham_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Rockingham_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Rockingham_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Rockingham_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Rockingham_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-02|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-03|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-04|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-05|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-06|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-07|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-08|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-09|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-10|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-11|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-12|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-13|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-14|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-15|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-16|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-17|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-18|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-19|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-20|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-21|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-22|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-23|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-24|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-25|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-26|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-27|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-28|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-29|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-30|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-01-31|38545.0|0|1814.0|0|4.494660422706212|0|40359.0|0
0|2020-02-01|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-02|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-03|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-04|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-05|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-06|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-07|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-08|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-09|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-10|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-11|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-12|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-13|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-14|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-15|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-16|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-17|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-18|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-19|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-20|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-21|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-22|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-23|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-24|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-25|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-26|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-27|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-28|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-02-29|38941.5|0|1653.0|0|4.071980194361305|0|40594.5|0
0|2020-03-01|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-02|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-03|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-04|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-05|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-06|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-07|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-08|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-09|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-10|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-11|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-12|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-13|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-14|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
0|2020-03-15|37306.0|0|1832.0|0|4.680872809034698|0|39138.0|0
