|dates|Rutherford_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Rutherford_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Rutherford_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Rutherford_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Rutherford_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Rutherford_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Rutherford_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Rutherford_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-02|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-03|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-04|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-05|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-06|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-07|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-08|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-09|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-10|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-11|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-12|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-13|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-14|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-15|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-16|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-17|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-18|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-19|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-20|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-21|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-22|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-23|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-24|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-25|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-26|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-27|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-28|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-29|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-30|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
0|2020-01-31|23958.5|0|1326.0|0|5.244319642468706|0|25284.5|0
