|dates|Hillsborough_Florida_UnitedStates.BLS_EmployedPopulation.data|Hillsborough_Florida_UnitedStates.BLS_EmployedPopulation.missing|Hillsborough_Florida_UnitedStates.BLS_UnemployedPopulation.data|Hillsborough_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Hillsborough_Florida_UnitedStates.BLS_UnemploymentRate.data|Hillsborough_Florida_UnitedStates.BLS_UnemploymentRate.missing|Hillsborough_Florida_UnitedStates.BLS_LaborForcePopulation.data|Hillsborough_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-02|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-03|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-04|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-05|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-06|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-07|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-08|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-09|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-10|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-11|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-12|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-13|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-14|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-15|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-16|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-17|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-18|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-19|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-20|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-21|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
0|2020-01-22|738136.0|0|24732.0|0|3.2419763314229986|0|762868.0|0
