|dates|Sanpete_Utah_UnitedStates.AveragePrecipitationTotal.data|Sanpete_Utah_UnitedStates.AveragePrecipitationTotal.missing|Sanpete_Utah_UnitedStates.AveragePrecipitation.data|Sanpete_Utah_UnitedStates.AveragePrecipitation.missing|Sanpete_Utah_UnitedStates.AverageWindDirection.data|Sanpete_Utah_UnitedStates.AverageWindDirection.missing|Sanpete_Utah_UnitedStates.AverageWindSpeed.data|Sanpete_Utah_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0031944444444444446|0|58.83680555555555|0|2.0190972222222223|0
0|2020-01-02|0.0020833333333333333|0|0.0|0|142.67361111111111|0|5.28125|0
0|2020-01-03|0.0|0|0.0|0|63.40277777777777|0|2.7708333333333335|0
0|2020-01-04|0.0|0|0.0|0|54.49801587301587|0|1.8289682539682541|0
0|2020-01-05|0.0|0|0.0|0|48.958333333333336|0|1.3333333333333333|0
0|2020-01-06|0.0|0|0.0|0|83.47222222222221|0|2.388888888888889|0
0|2020-01-07|0.0|0|0.0|0|70.90277777777777|0|1.9222222222222223|0
0|2020-01-08|0.0|0|0.0|0|45.9375|0|1.28125|0
0|2020-01-09|0.0|0|0.0|0|78.4375|0|3.125|0
0|2020-01-10|0.0|0|0.0|0|248.95833333333334|0|10.4375|0
0|2020-01-11|0.0|0|0.0|0|86.66666666666667|0|3.6666666666666665|0
0|2020-01-12|0.0|0|0.0008333333333333334|0|70.86805555555556|0|3.631944444444444|0
0|2020-01-13|0.0008333333333333334|0|0.0|0|50.0|0|2.3125|0
0|2020-01-14|0.0|0|0.0|0|70.83333333333333|0|3.6666666666666665|0
0|2020-01-15|0.0|0|0.0|0|88.33333333333333|0|4.125|0
0|2020-01-16|0.0|0|0.0|0|58.75|0|1.9166666666666667|0
0|2020-01-17|0.0|0|0.0017013888888888888|0|171.2847222222222|0|7.333333333333333|0
0|2020-01-18|0.0025|0|0.0|0|44.166666666666664|0|3.0833333333333335|0
0|2020-01-19|0.0|0|0.0|0|123.33333333333333|0|3.9583333333333335|0
0|2020-01-20|0.0|0|0.0|0|46.666666666666664|0|1.75|0
0|2020-01-21|0.0|0|0.0001388888888888889|0|99.40972222222223|0|2.0104166666666665|0
0|2020-01-22|8.333333333333333e-05|0|0.0|0|48.333333333333336|0|1.5722222222222222|0
0|2020-01-23|0.0|0|0.0|0|72.79166666666667|0|2.0708333333333333|0
0|2020-01-24|0.0|0|0.0|0|76.61805555555556|0|2.104861111111111|0
0|2020-01-25|0.0|0|0.0|0|90.54464285714283|0|2.0987103174603177|0
0|2020-01-26|0.0|0|0.0|0|57.638888888888886|0|1.4756944444444446|0
0|2020-01-27|0.0|0|0.0|0|224.16666666666666|0|9.083333333333334|0
0|2020-01-28|0.0|0|0.0|0|92.70833333333333|0|2.6875|0
0|2020-01-29|0.0|0|0.0|0|125.83333333333333|0|4.958333333333333|0
0|2020-01-30|0.0|0|0.0|0|239.16666666666666|0|9.208333333333334|0
0|2020-01-31|0.0|0|0.0|0|91.66666666666667|0|4.291666666666667|0
0|2020-02-01|0.0|0|0.0|0|42.916666666666664|0|4.166666666666667|0
0|2020-02-02|0.0|0|0.0|0|72.91666666666667|0|3.6666666666666665|0
0|2020-02-03|0.0|0|0.0|0|283.88888888888886|0|11.930555555555557|0
0|2020-02-04|0.0|0|0.0|0|195.41666666666666|0|10.083333333333334|0
0|2020-02-05|0.0|0|0.0|0|181.66666666666666|0|5.666666666666667|0
0|2020-02-06|0.0|0|0.0|0|143.75|0|10.083333333333334|0
0|2020-02-07|0.0|0|0.0|0|228.33333333333334|0|14.333333333333334|0
0|2020-02-08|0.0|0|0.0|0|130.41666666666666|0|7.625|0
0|2020-02-09|0.0|0|0.0|0|117.08333333333333|0|9.5|0
0|2020-02-10|0.0|0|0.0|0|167.77777777777777|0|7.708333333333333|0
0|2020-02-11|0.0|0|0.0|0|115.41666666666667|0|5.791666666666667|0
0|2020-02-12|0.0|0|0.0|0|281.6666666666667|0|11.708333333333334|0
0|2020-02-13|0.0|0|0.0|0|104.58333333333333|0|4.625|0
0|2020-02-14|0.0|0|0.0|0|35.833333333333336|0|5.208333333333333|0
0|2020-02-15|0.0|0|0.0|0|141.25|0|5.375|0
0|2020-02-16|0.0|0|0.0|0|119.58333333333333|0|6.25|0
0|2020-02-17|0.0|0|0.0|0|200.41666666666666|0|9.333333333333334|0
0|2020-02-18|0.0|0|0.0|0|92.5|0|6.083333333333333|0
0|2020-02-19|0.0|0|0.0|0|210.83333333333334|0|8.916666666666666|0
0|2020-02-20|0.0|0|0.0|0|112.5|0|5.583333333333333|0
0|2020-02-21|0.0|0|0.0|0|27.083333333333332|0|5.25|0
0|2020-02-22|0.0|0|0.0|0|142.08333333333334|0|3.9583333333333335|0
0|2020-02-23|0.0|0|0.001916666666666667|0|214.5|0|7.254861111111111|0
0|2020-02-24|0.0008333333333333334|0|0.0|0|271.6666666666667|0|16.041666666666668|0
0|2020-02-25|0.0|0|0.0|0|270.8333333333333|0|8.875|0
0|2020-02-26|0.0|0|0.0|0|66.66666666666667|0|4.291666666666667|0
0|2020-02-27|0.0|0|0.0|0|137.08333333333334|0|6.083333333333333|0
0|2020-02-28|0.0|0|0.0|0|66.66666666666667|0|4.166666666666667|0
0|2020-02-29|0.0|0|0.0|0|77.91666666666667|0|6.458333333333333|0
0|2020-03-01|0.0|0|0.0|0|156.875|0|6.875|0
0|2020-03-02|0.0|0|0.0|0|327.9166666666667|0|11.8125|0
0|2020-03-03|0.0|0|0.0|0|258.75|0|9.833333333333334|0
0|2020-03-04|0.0|0|0.0|0|132.5|0|5.625|0
0|2020-03-05|0.0|0|0.0|0|80.41666666666667|0|6.375|0
0|2020-03-06|0.0|0|0.0|0|70.41666666666667|0|6.333333333333333|0
0|2020-03-07|0.0|0|0.0004166666666666667|0|116.66666666666667|0|5.666666666666667|0
0|2020-03-08|0.0004166666666666667|0|0.0035416666666666665|0|180.06944444444446|0|6.249999999999999|0
0|2020-03-09|0.004583333333333333|0|0.0004166666666666667|0|78.57638888888889|0|4.951388888888888|0
0|2020-03-10|0.0004166666666666667|0|0.0|0|79.58333333333333|0|5.125|0
0|2020-03-11|0.0|0|0.005|0|90.79861111111113|0|4.822916666666667|0
0|2020-03-12|0.002638888888888889|0|0.0|0|92.29166666666667|0|4.666666666666667|0
0|2020-03-13|0.0|0|0.01027777777777778|0|101.52777777777779|0|5.347222222222221|0
0|2020-03-14|0.013333333333333334|0|0.0004166666666666667|0|100.625|0|5.083333333333333|0
0|2020-03-15|0.0004166666666666667|0|0.0|0|107.5|0|7.125|0
0|2020-03-16|0.0|0|0.0|0|91.66666666666667|0|6.0|0
0|2020-03-17|0.0|0|0.0|0|76.66666666666667|0|6.458333333333333|0
0|2020-03-18|0.0|0|0.007875|0|139.0625|0|8.375|0
0|2020-03-19|0.0046875|0|0.00959027777777778|0|112.91666666666667|0|4.340972222222223|0
0|2020-03-20|0.006458333333333333|0|0.010729166666666666|0|119.1875|0|4.671527777777778|0
0|2020-03-21|0.009166666666666667|0|0.0011041666666666667|0|79.52083333333333|0|3.185416666666667|0
0|2020-03-22|0.0016666666666666668|0|0.0|0|129.16666666666666|0|5.125|0
0|2020-03-23|0.0|0|0.00020833333333333335|0|86.45833333333333|0|6.75|0
0|2020-03-24|0.00020833333333333335|0|0.0004166666666666667|0|117.84722222222221|0|8.006944444444445|0
0|2020-03-25|0.0004166666666666667|0|0.0|0|195.83333333333334|0|8.666666666666666|0
0|2020-03-26|0.0|0|0.0|0|222.5|0|8.083333333333334|0
