|dates|Power_Idaho_UnitedStates.BLS_EmployedPopulation.data|Power_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Power_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Power_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Power_Idaho_UnitedStates.BLS_UnemploymentRate.data|Power_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Power_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Power_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-02|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-03|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-04|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-05|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-06|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-07|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-08|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-09|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-10|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-11|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-12|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-13|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-14|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-15|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-16|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-17|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-18|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-19|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-20|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-21|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-22|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-23|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-24|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-25|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-26|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-27|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-28|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-29|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-30|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-01-31|3636.5|0|171.0|0|4.491135915955351|0|3807.5|0
0|2020-02-01|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-02|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-03|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-04|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-05|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-06|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-07|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-08|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-09|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-10|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-11|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-12|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-13|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-14|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-15|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-16|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-17|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-18|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-19|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-20|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-21|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
0|2020-02-22|3687.0|0|140.0|0|3.658217925267834|0|3827.0|0
