|dates|BigHorn_Wyoming_UnitedStates.BLS_EmployedPopulation.data|BigHorn_Wyoming_UnitedStates.BLS_EmployedPopulation.missing|BigHorn_Wyoming_UnitedStates.BLS_UnemployedPopulation.data|BigHorn_Wyoming_UnitedStates.BLS_UnemployedPopulation.missing|BigHorn_Wyoming_UnitedStates.BLS_UnemploymentRate.data|BigHorn_Wyoming_UnitedStates.BLS_UnemploymentRate.missing|BigHorn_Wyoming_UnitedStates.BLS_LaborForcePopulation.data|BigHorn_Wyoming_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-02|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-03|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-04|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-05|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-06|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-07|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-08|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-09|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-10|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-11|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-12|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-13|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-14|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-15|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-16|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-17|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-18|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-19|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-20|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-21|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-22|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-23|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-24|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-25|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-26|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-27|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-28|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-29|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-30|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-01-31|4927.0|0|306.5|0|5.8565013853062|0|5233.5|0
0|2020-02-01|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-02|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-03|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-04|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-05|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-06|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-07|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-08|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
0|2020-02-09|4910.0|0|312.5|0|5.983724269985639|0|5222.5|0
