|dates|Clay_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clay_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clay_Florida_UnitedStates.Male_Total_Population.data|Clay_Florida_UnitedStates.Male_Total_Population.missing|Clay_Florida_UnitedStates.Female_Total_Population.data|Clay_Florida_UnitedStates.Female_Total_Population.missing|Clay_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Clay_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-02|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-03|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-04|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-05|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-06|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-07|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-08|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-09|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-10|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-11|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-12|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-13|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-14|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-15|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-16|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-17|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-18|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-19|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-20|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-21|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-22|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-23|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-24|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-25|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-26|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-27|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-28|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-29|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-30|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-01-31|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-01|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-02|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-03|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-04|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-05|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-06|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-07|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-08|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-09|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-10|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-11|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-12|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-13|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-14|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-15|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-16|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-17|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-18|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-19|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-20|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-21|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-22|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-23|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-24|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-25|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-26|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-27|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-28|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-02-29|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-01|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-02|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-03|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-04|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-05|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-06|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-07|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-08|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-09|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-10|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-11|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-12|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-13|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-14|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-15|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-16|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-17|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-18|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-19|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-20|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-21|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-22|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-23|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-24|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-25|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-26|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-27|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-28|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-29|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-30|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-03-31|34104.0|0|106560.0|0|109512.0|0|50209.0|0
0|2020-04-01|34104.0|0|106560.0|0|109512.0|0|50209.0|0
