|dates|Essex_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Essex_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Essex_Massachusetts_UnitedStates.Male_Total_Population.data|Essex_Massachusetts_UnitedStates.Male_Total_Population.missing|Essex_Massachusetts_UnitedStates.Female_Total_Population.data|Essex_Massachusetts_UnitedStates.Female_Total_Population.missing|Essex_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Essex_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-02|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-03|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-04|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-05|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-06|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-07|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-08|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-09|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-10|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-11|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-12|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-13|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-14|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-15|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-16|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-17|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-18|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-19|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-20|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-21|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-22|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-23|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-24|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-25|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-26|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-27|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-28|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-29|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-30|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-01-31|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-01|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-02|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-03|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-04|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-05|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-06|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-07|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-08|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-09|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-10|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-11|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-12|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-13|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-14|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-15|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-16|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-17|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-18|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-19|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-20|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-21|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-22|134796.0|0|381264.0|0|409374.0|0|168488.0|0
0|2020-02-23|134796.0|0|381264.0|0|409374.0|0|168488.0|0
