|dates|Sioux_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Sioux_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Sioux_Nebraska_UnitedStates.Male_Total_Population.data|Sioux_Nebraska_UnitedStates.Male_Total_Population.missing|Sioux_Nebraska_UnitedStates.Female_Total_Population.data|Sioux_Nebraska_UnitedStates.Female_Total_Population.missing|Sioux_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Sioux_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-02|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-03|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-04|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-05|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-06|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-07|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-08|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-09|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-10|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-11|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-12|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-13|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-14|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-15|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-16|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-17|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-18|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-19|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-20|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-21|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-22|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-23|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-24|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-25|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-26|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-27|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-28|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-29|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-30|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-01-31|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-01|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-02|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-03|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-04|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-05|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-06|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-07|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-08|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-09|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-10|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-11|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-12|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-13|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-14|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-15|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-16|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-17|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-18|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-19|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-20|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-21|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-22|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-23|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-24|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-25|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-26|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-27|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-28|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-02-29|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-01|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-02|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-03|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-04|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-05|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-06|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-07|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-08|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-09|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-10|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-11|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-12|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-13|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-14|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-15|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-16|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-17|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-18|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-19|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-20|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-21|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-22|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-23|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-24|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-25|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-26|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-27|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-28|339.0|0|609.0|0|578.0|0|221.0|0
0|2020-03-29|339.0|0|609.0|0|578.0|0|221.0|0
