|dates|Dundy_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Dundy_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Dundy_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Dundy_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Dundy_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Dundy_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Dundy_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Dundy_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-02|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-03|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-04|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-05|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-06|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-07|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-08|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-09|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-10|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-11|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-12|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-13|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-14|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-15|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-16|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-17|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-18|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-19|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-20|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-21|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-22|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-23|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-24|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-25|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-26|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-27|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-28|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-29|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-30|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-01-31|1156.0|0|28.0|0|2.364864864864865|0|1184.0|0
0|2020-02-01|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-02|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-03|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-04|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-05|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-06|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-07|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-08|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-09|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-10|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-11|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-12|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-13|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-14|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-15|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-16|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-17|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-18|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-19|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-20|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-21|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-22|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-23|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-24|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-25|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-26|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-27|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-28|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-02-29|1159.0|0|26.0|0|2.1940928270042193|0|1185.0|0
0|2020-03-01|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-02|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-03|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-04|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-05|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-06|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-07|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-08|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-09|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-10|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-11|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-12|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
0|2020-03-13|1180.0|0|35.5|0|2.9206088029617443|0|1215.5|0
