|dates|LewisandClark_Montana_UnitedStates.BLS_EmployedPopulation.data|LewisandClark_Montana_UnitedStates.BLS_EmployedPopulation.missing|LewisandClark_Montana_UnitedStates.BLS_UnemployedPopulation.data|LewisandClark_Montana_UnitedStates.BLS_UnemployedPopulation.missing|LewisandClark_Montana_UnitedStates.BLS_UnemploymentRate.data|LewisandClark_Montana_UnitedStates.BLS_UnemploymentRate.missing|LewisandClark_Montana_UnitedStates.BLS_LaborForcePopulation.data|LewisandClark_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-02|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-03|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-04|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-05|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-06|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-07|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-08|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-09|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-10|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-11|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-12|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-13|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-14|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-15|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-16|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-17|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-18|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-19|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-20|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-21|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-22|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-23|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-24|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-25|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-26|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-27|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-28|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-29|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-30|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-01-31|34638.0|0|1384.0|0|3.84209649658542|0|36022.0|0
0|2020-02-01|34864.5|0|1289.5|0|3.5666869502682967|0|36154.0|0
0|2020-02-02|34864.5|0|1289.5|0|3.5666869502682967|0|36154.0|0
