|dates|Colfax_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Colfax_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Colfax_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Colfax_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Colfax_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Colfax_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Colfax_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Colfax_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-02|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-03|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-04|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-05|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-06|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-07|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-08|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-09|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-10|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-11|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-12|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-13|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-14|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-15|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-16|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-17|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-18|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-19|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-20|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-21|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-22|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-23|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-24|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-25|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-26|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-27|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-28|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-29|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-30|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-01-31|5173.0|0|248.0|0|4.574801697103855|0|5421.0|0
0|2020-02-01|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-02|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-03|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-04|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-05|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-06|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-07|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-08|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-09|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-10|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-11|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-12|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-13|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-14|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-15|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
0|2020-02-16|5076.0|0|252.0|0|4.72972972972973|0|5328.0|0
