|dates|Lincoln_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Lincoln_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Lincoln_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Lincoln_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Lincoln_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Lincoln_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Lincoln_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Lincoln_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-02|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-03|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-04|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-05|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-06|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-07|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-08|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-09|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-10|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-11|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-12|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-13|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-14|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-15|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-16|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-17|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-18|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-19|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-20|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-21|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-22|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-23|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-24|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-25|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-26|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-27|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-28|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-29|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-30|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-01-31|8366.0|0|442.5|0|5.023556791735256|0|8808.5|0
0|2020-02-01|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-02|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-03|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-04|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-05|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-06|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-07|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-08|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-09|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
0|2020-02-10|8287.0|0|443.0|0|5.074455899198167|0|8730.0|0
