|dates|Wexford_Michigan_UnitedStates.BLS_EmployedPopulation.data|Wexford_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Wexford_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Wexford_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Wexford_Michigan_UnitedStates.BLS_UnemploymentRate.data|Wexford_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Wexford_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Wexford_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-02|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-03|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-04|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-05|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-06|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-07|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-08|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-09|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-10|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-11|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-12|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-13|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-14|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-15|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-16|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-17|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-18|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-19|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-20|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-21|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-22|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-23|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-24|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-25|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-26|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-27|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-28|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
0|2020-01-29|14011.5|0|781.5|0|5.282904076252281|0|14793.0|0
