|dates|McPherson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|McPherson_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|McPherson_Nebraska_UnitedStates.Male_Total_Population.data|McPherson_Nebraska_UnitedStates.Male_Total_Population.missing|McPherson_Nebraska_UnitedStates.Female_Total_Population.data|McPherson_Nebraska_UnitedStates.Female_Total_Population.missing|McPherson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|McPherson_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-02|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-03|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-04|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-05|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-06|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-07|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-08|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-09|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-10|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-11|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-12|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-13|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-14|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-15|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-16|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-17|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-18|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-19|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-20|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-21|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-22|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-23|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-24|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-25|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-26|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-27|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-28|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-29|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-30|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-01-31|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-01|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-02|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-03|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-04|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-05|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-06|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-07|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-08|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-09|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-10|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-11|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-12|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-13|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-14|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-15|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-16|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-17|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-18|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-19|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-20|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-21|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-22|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-23|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-24|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-25|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-26|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-27|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-28|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-02-29|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-01|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-02|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-03|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-04|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-05|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-06|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-07|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-08|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-09|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-10|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-11|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-12|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-13|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-14|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-15|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-16|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-17|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-18|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-19|119.0|0|251.0|0|241.0|0|91.0|0
0|2020-03-20|119.0|0|251.0|0|241.0|0|91.0|0
