|dates|York_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|York_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|York_Pennsylvania_UnitedStates.Male_Total_Population.data|York_Pennsylvania_UnitedStates.Male_Total_Population.missing|York_Pennsylvania_UnitedStates.Female_Total_Population.data|York_Pennsylvania_UnitedStates.Female_Total_Population.missing|York_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|York_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-02|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-03|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-04|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-05|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-06|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-07|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-08|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-09|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-10|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-11|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-12|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-13|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-14|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-15|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-16|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-17|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-18|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-19|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-20|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-21|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-22|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-23|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-24|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-25|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-26|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-27|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-28|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-29|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-30|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-01-31|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-01|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-02|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-03|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-04|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-05|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-06|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-07|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-08|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-09|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-10|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-11|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-12|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-13|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-14|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-15|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-16|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-17|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-18|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-19|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-20|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-21|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-22|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-23|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-24|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-25|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-26|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-27|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-28|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-02-29|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-01|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-02|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-03|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-04|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-05|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-06|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-07|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-08|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-09|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-10|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-11|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-12|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-13|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-14|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-15|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-16|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-17|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-18|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-19|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-20|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-21|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-22|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-23|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-24|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-25|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-26|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-27|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-28|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-29|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-30|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-03-31|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-01|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-02|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-03|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-04|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-05|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-06|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-07|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-08|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-09|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-10|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-11|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-12|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-13|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-14|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-15|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-16|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-17|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-18|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-19|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-20|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-21|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-22|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-23|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-24|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-25|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-26|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-27|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-28|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-29|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-04-30|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-05-01|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-05-02|78216.0|0|221618.0|0|226655.0|0|99020.0|0
0|2020-05-03|78216.0|0|221618.0|0|226655.0|0|99020.0|0
