|dates|Hampton_Virginia_UnitedStates.BLS_EmployedPopulation.data|Hampton_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Hampton_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Hampton_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Hampton_Virginia_UnitedStates.BLS_UnemploymentRate.data|Hampton_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Hampton_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Hampton_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-02|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-03|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-04|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-05|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-06|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-07|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-08|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-09|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-10|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-11|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-12|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-13|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-14|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-15|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-16|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-17|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-18|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-19|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-20|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-21|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-22|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-23|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-24|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-25|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-26|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-27|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-28|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-29|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-30|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-01-31|62403.0|0|2541.0|0|3.91260162601626|0|64944.0|0
0|2020-02-01|62862.5|0|2331.5|0|3.5762493480995183|0|65194.0|0
0|2020-02-02|62862.5|0|2331.5|0|3.5762493480995183|0|65194.0|0
