|dates|King_Washington_UnitedStates.JHU_ConfirmedCases.data|King_Washington_UnitedStates.JHU_ConfirmedCases.missing|King_Washington_UnitedStates.NYT_ConfirmedCases.data|King_Washington_UnitedStates.NYT_ConfirmedCases.missing|King_Washington_UnitedStates.JHU_ConfirmedDeaths.data|King_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|King_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|King_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-29|6.0|0|4.0|0|1.0|0|0.0|100
0|2020-03-01|9.0|0|11.0|0|1.0|0|0.0|100
0|2020-03-02|14.0|0|15.0|0|5.0|0|0.0|100
0|2020-03-03|21.0|0|22.0|0|6.0|0|0.0|100
0|2020-03-04|31.0|0|33.0|0|9.0|0|0.0|100
0|2020-03-05|51.0|0|52.0|0|10.0|0|0.0|100
0|2020-03-06|58.0|0|59.0|0|12.0|0|0.0|100
0|2020-03-07|71.0|0|72.0|0|15.0|0|0.0|100
0|2020-03-08|83.0|0|91.0|0|17.0|0|0.0|100
0|2020-03-09|83.0|0|117.0|0|17.0|0|0.0|100
0|2020-03-10|116.0|0|191.0|0|21.0|0|0.0|100
0|2020-03-11|190.0|0|235.0|0|22.0|0|0.0|100
0|2020-03-12|270.0|0|271.0|0|27.0|0|0.0|100
0|2020-03-13|328.0|0|329.0|0|32.0|0|0.0|100
0|2020-03-14|387.0|0|389.0|0|34.0|0|0.0|100
0|2020-03-15|387.0|0|421.0|0|35.0|0|0.0|100
0|2020-03-16|488.0|0|489.0|0|43.0|0|0.0|100
0|2020-03-17|569.0|0|518.0|0|46.0|0|0.0|100
0|2020-03-18|562.0|0|563.0|0|56.0|0|0.0|100
0|2020-03-19|693.0|0|693.0|0|60.0|0|0.0|100
0|2020-03-20|793.0|0|794.0|0|67.0|0|0.0|100
0|2020-03-21|934.0|0|935.0|0|74.0|0|0.0|100
0|2020-03-22|1040.0|0|1036.0|0|75.0|0|0.0|100
0|2020-03-23|1170.0|0|1166.0|0|87.0|0|0.0|100
0|2020-03-24|1170.0|0|1278.0|0|87.0|0|0.0|100
0|2020-03-25|1359.0|0|1360.0|0|101.0|0|0.0|100
0|2020-03-26|1577.0|0|1579.0|0|109.0|0|0.0|100
0|2020-03-27|1577.0|0|1830.0|0|109.0|0|0.0|100
0|2020-03-28|2077.0|0|2079.0|0|136.0|0|0.0|100
0|2020-03-29|2159.0|0|2163.0|0|141.0|0|0.0|100
0|2020-03-30|2161.0|0|2332.0|0|144.0|0|0.0|100
0|2020-03-31|2330.0|0|2332.0|0|150.0|0|0.0|100
0|2020-04-01|2330.0|0|2498.0|0|150.0|0|0.0|100
0|2020-04-02|2656.0|0|2658.0|0|175.0|0|0.0|100
0|2020-04-03|2787.0|0|2789.0|0|186.0|0|0.0|100
0|2020-04-04|2898.0|0|2900.0|0|200.0|0|0.0|100
0|2020-04-05|3167.0|0|3169.0|0|208.0|0|0.0|100
0|2020-04-06|3331.0|0|3333.0|0|222.0|0|0.0|100
0|2020-04-07|3486.0|0|3488.0|0|230.0|0|0.0|100
0|2020-04-08|3688.0|0|3690.0|0|244.0|0|0.0|100
0|2020-04-09|3886.0|0|3888.0|0|258.0|0|0.0|100
0|2020-04-10|4117.0|0|4119.0|0|277.0|0|0.0|100
0|2020-04-11|4262.0|0|4264.0|0|284.0|0|0.0|100
0|2020-04-12|4426.0|0|4428.0|0|292.0|0|0.0|100
0|2020-04-13|4426.0|0|4551.0|0|292.0|0|0.0|100
0|2020-04-14|4549.0|0|4622.0|0|296.0|0|0.0|100
0|2020-04-15|4620.0|0|4699.0|0|303.0|0|0.0|100
0|2020-04-16|4697.0|0|4811.0|0|312.0|0|0.0|100
0|2020-04-17|4902.0|0|4904.0|0|331.0|0|0.0|100
0|2020-04-18|4902.0|0|5065.0|0|331.0|0|0.0|100
0|2020-04-19|5174.0|0|5174.0|0|346.0|0|0.0|100
0|2020-04-20|5174.0|0|5295.0|0|346.0|0|0.0|100
0|2020-04-21|5293.0|0|5381.0|0|360.0|0|0.0|100
0|2020-04-22|5379.0|0|5451.0|0|373.0|0|0.0|100
0|2020-04-23|5532.0|0|5571.0|0|385.0|0|0.0|100
0|2020-04-24|5637.0|0|5691.0|0|393.0|0|0.0|100
0|2020-04-25|5739.0|0|5813.0|0|400.0|0|0.0|100
0|2020-04-26|5863.0|0|5914.0|0|408.0|0|0.0|100
0|2020-04-27|5945.0|0|5992.0|0|416.0|0|0.0|100
0|2020-04-28|6001.0|0|6056.0|0|429.0|0|0.0|100
0|2020-04-29|6103.0|0|6184.0|0|438.0|0|0.0|100
0|2020-04-30|6207.0|0|6310.0|0|447.0|0|0.0|100
0|2020-05-01|6274.0|0|6409.0|0|452.0|0|0.0|100
0|2020-05-02|6351.0|0|6507.0|0|457.0|0|0.0|100
0|2020-05-03|6449.0|0|6620.0|0|459.0|0|0.0|100
0|2020-05-04|6545.0|0|6584.0|0|463.0|0|0.0|100
0|2020-05-05|6621.0|0|6655.0|0|469.0|0|0.0|100
0|2020-05-06|6704.0|0|6772.0|0|474.0|0|0.0|100
0|2020-05-07|6809.0|0|6865.0|0|480.0|0|0.0|100
0|2020-05-08|6863.0|0|6942.0|0|487.0|0|0.0|100
0|2020-05-09|6947.0|0|7002.0|0|491.0|0|0.0|100
0|2020-05-10|7007.0|0|7048.0|0|500.0|0|0.0|100
0|2020-05-11|7068.0|0|7117.0|0|506.0|0|0.0|100
